collection,cibid,pubdate,file,cibbody,date,id,body,url,folder,title,_merge,year
Current/Central Intelligence Bulletin Collection,3175209,"March 13, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587362%5D.pdf,"Approved for Release: 2019/03/14 C03175209
< __TORSEGRE |
13 March 1951

L 3.5(0

Copy No. c (.9

CURRENT INTELLIGENCE BULLETIN 3 -2
DOCUMENT NO.

NO CHANGE IM CLASS, S?
fon IFIED
c

  

 

 

 

3'.5(0)

 

 

 

 

 

 

 

3.5(c)
Office of Current Intelligence
CENTRAL INTELLIGENCE AGENCY
3.5(c)

 

 

Approved for Release: 2019/03/14 C03175209
",3/13/51,,,,,,master only (1),1951
Current/Central Intelligence Bulletin Collection,2682864,"March 14, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587400%5D.pdf,"-

iy

Approved for Release: 2019/03/14 C02682864

- o",3/14/51,CIA-RDP79T00975A000100310001-5,"Approved Foglrelease 2004/01/16 : CIA-RDP79T009Rg&000100310001-5 /

ot TOP SEGRET

14 March 1951

 

 

 

 

- o 25X1
. _ Copy No. ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100310001-5,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682865,"March 15, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587340%5D.pdf,Approved for Release: 2019/03/14 C02682865 ,3/15/51,CIA-RDP79T00975A000100320001-4," 

 

 

 

e e e Approved FogRelease 2004/01/16 : CIA-RDP79T009W",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100320001-4,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2682866,"March 16, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587342%5D.pdf,. Approved for Release: 2019/03/14 C02682866 r,3/16/51,CIA-RDP79T00975A000100330001-3,. \ : ' ,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100330001-3,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3175210,"March 17, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587403%5D.pdf,_4 N,3/17/51,,,,,,master only (1),1951
Current/Central Intelligence Bulletin Collection,2682867,"March 18, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587409%5D.pdf," 

 

18 March 1951

 

 

 

 

-

Copy No.

CURRENT INTELLIGENCE BULLETIN

DOCUMENT NO.

s st
O G N CLASS. -

st o

 
  
 

 

 

 

 

Office of Current Inteliigence

CENTRAL INTELLIGENCE AGENCY

 

 

 

 

 

Approved for Release: 2019/03/14 C02682867

3.5(c)

 

3.5(c)
",3/18/51,CIA-RDP79T00975A000100350001-1," 

(

Approved For Release 2004/01/16 : CIA- RDP79T00975A000100350001 1

T0P SECRET

18 March 1951

 

 

 

 

_ -

Copy No.

CURRENT INTELLIGENCE BULLETIN

38

 

 

 

 

 

 

25X1

 

 

 

Office of Current Inteliigence

CENTRAL INTELLIGENCE AGENCY

 

25X1

 

 

 

o3

it

i

S

TP S

State Department review completed

Approved For Release 2004/01/16 : CIA-RDP79T00975A000100350001-1

 

25X1

1

b
LT

to

%
<

lar

- 25X1
x0c- 25X1

i

 

25X1A
Approved For Release 2004/01/16 : CIA-RDP79T00975A0001003%0001-1

 

 

 

SUMMARY

 

 

 

 

4.

Chinese Communists assuming direction of guerrilla operations
in Burma (page 5).

 

 

 

 

25X1A

 

 

 

 

25X1A

 

 

 

 

Approved For Release 2004/01/16 : CIA-RDP79T00975A000100350001-1

25X1
x0c25X1 Approved For Release 2004/01/16 : CIA-RDP79T00975A000100350001-1

Next 1 Page(s) In Document Exempt

 

Approved For Release 2004/01/16 : CIA-RDP79T00975A000100350001-1
x0c< 25X1A

 

%5?)(r1'\al\ed For Release 2004/01/16 : CIA-RDP79T00975A000109350001-1

 

 

 

4. Chinese Communists assuming direction of guerrilla operations in

Burma;

25X1 | ror",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100350001-1,/meta-53800,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733106,"March 20, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587396%5D.pdf,"Approved for Release: 20/1 9/03/14 C02733106

 

  

 

 

 

 

 

 

 

 

 

 

w IUF HEl -
A
/,-/z",3/20/51,CIA-RDP79T00975A000100360001-0,"e e Approved ForWealu?o&m}?E@A-RDP79T00975@00100360001-0

20 March 1951

 

 

 

 

 

 

 

 

 

 

 

 

 

 

25X1
Copy No. -7~
CURRENT INTELLIGENCE BULLETIN
I""rA",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100360001-0,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733107,"March 21, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587354%5D.pdf,"Approved for Release: 2019/03/14 C02733107

ToRsecREr

21 March 1951

] 3.3

Copy No. ¢7-9

CURRENT INTELLIGENCE BULLETIN I

o cmin

DOCUMENT NO.

MO CHANGE IN CLASS_%T, A
i DECLASSIFIED

HGEDTO: TS S c,29
Mo AT REVIZW DATE: Q E
AUTH: PR 732

onell=lS ""W L 35(0)

-

 

 

 

 

 

3.5(c)

 

Office of.Current Intelligence

CENTRAL INTELLIGENCE AGENCY

 

 

3.5(c)

 

 

TOP SECRET

Approved for Release: 2019/03/14 C02733107
",3/21/51,CIA-RDP79T00975A000100370001-9,"| ] Approved For Refease 2004'oa/ 38 IA- .|,=_79T00975hado1oo370001-9
A ¢ ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100370001-9,/meta-54600,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3176551,"March 23, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587359%5D.pdf,,3/23/51,CIA-RDP79T00975A000100380001-8,">N e . Approved Forvgeélease 2003/10/15 : CIA-RDP79T009754800100380001-8

TOP SECRFT 5

23 March 1951

 

25X1

 

 

 

Copy No. 1 -~

CURRENT INTELLIGENCE BULLETIN

DOCUMENT NO.

NO CHANGE IN CLASS. SN

| DECLASSIFIED

CLASE. CHANGED TO: TS §

NEXT REVIEW DATE: ___22_0_7_

AUTH: JHE 72 =

patg] ¢ 2dd 7 ?:wewsn: 25X1

25X1

 

 

 

 

 

 

 

 

Office of Current Intelligence

CENTRAL INTELLIGENCE AGENCY

 

25X1

 

 

 

TOP SECRET

A,

State Dept review(s) completed.

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100380001-8
x0c25X1

 

 

25X1A
ApproveF For Release 2003/10/15 : CIA-RDP79T00975A000140380001-8
-
SUMMARY
GENERAL

1. Threatened split in Western position on CFM agenda item (page 3).

 

 

 

 

WESTERN EUROPE

4. French Communists seek general strike to block rearmament
(page 4).

25X1A

 

 

 

 

25X1A -2-

 

 

 

 

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100380001-8
x0c 

25X1A
Approved For Release 2003/10/15 : CIA-RDP79T00975A00010038Q3001-8

 

 

 

GENERAL

. Threatened split in Western position on CFM agenda item:

 

 

The British and French representatives
at the Paris conference have admitted
to US Ambassador Jessup that if the

 

 

Soviets propose discussion of ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100380001-8,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733108,"March 24, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587402%5D.pdf," 

 

Approved for Release: 2019/03/14 C02733108
- , WT -

-
), -
0 5

924 March 1951

e
Copy No. ",3/24/51,CIA-RDP79T00975A000100390001-7," 

-

-

J.'A .

L ¥ Approved FogBelease 2004/ 5P SFOREToT009750000100390001-7

 

e

~

24 March 1951

Copy No. T a&

 

 

25X1

 

 

CURRENT INTELLIGENCE BULLETIN

- ey
DOCUMENT NO. b

NO CHANGE IN CLASS. e
CopE SIFIED
C

: AMGEDTO: T8 S C

booa i TEVIEW DATE:
FJTH: R 7 2' .
onte L8 Wevenen |

  

   
 
 

25X1
25X1

 

 

 

 

Office of Current Intelligence

CENTRAL INTELLIGENCE AGENCY

 

25X1_

 

 

 

USAF review(s) completed.

TOP SEGRET

~State Dept review(s) completed.

Approved For Release 2004/08/03 : CIA-RDP79T00975A000100390001-7
x0c 

25X1A

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

] Approved For Release 2004/08/03 : CIA-RDP79T00975A000100390001-7
SUMMARY
GENERAL
1. Deputy Foreign Ministers",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100390001-7,/meta-52600,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3176552,"March 25, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587386%5D.pdf," 

Approved for Release: 2019/03/14 C03176552

25 March 195

3.5(c)
Copy No. CT-9

CURRENT VAL LIGENDE B ULLETIN ¢ 5

v R TN
QOUVENTNG

 

 

 

 

 

3.5(c)

 

 

 

 

3.5(c)
20

A
liar
to
25
1 LAl

Office of Current Imeliigence

CENTRAL INTELLIGENCE AGENCY

 

3.5(c)

 

 

 

Approved for Release: 2019/03/14 C03176552
",3/25/51,CIA-RDP79T00975A000100400001-5," 

25X1

25X1

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100400001-5
25 March 195%:

 

 

 

 

Copy No. CL -

CURRENT QN0 LIGENCE B ULLETIN 4« 5

e e T T N
o ounErE NOY

 

 

 

 

 

 

 

 

 

Office of Current Inmeliigence

CENTRAL INTELLIGENCE AGENCY

 

 

 

 

State Dept review(s) completed.

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100400001-5

25X1

25X1

20

1 w
liar

to
25

~

Iar
x0c25X1A
Approved For Release 2003/10/15 : CIA-RDP79T00975A0001*)0400001-5

 

- SUMMARY

GENERAL

. British Parliamentary criticism complicates Anglo-Egyptian relations

(page 3). |

. UK following up South African promise of troops for Middle East

(page 3).

FAR EAST

 

 

25X1

 

 

. De Lattre obtains reinforcements for Indochina {page 5).

»

EASTERN EUROPE

. Pursuit planes reported over Albanian capital (page 5). -

LATIN AMERICA

. Argentine President boasts of new method for producing Atomic

Energy (page 6).

 

 

 

 

25X1A

 

 

 

 

\

Approved For Release 2003/10/15 : CIA-RDP79T00975A000100400001-5
x0c-

-

25X1A

. British Parligmentary criticism complicates Anglo-Egyptian relations:

 

 

25)",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100400001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3176553,"March 27, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587364%5D.pdf,"it Approved for Release: 2019/03/14 C03176553 N

t < ",3/27/51,CIA-RDP79T00975A000100410001-4," 

ac d ILLEGIB
, ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100410001-4,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2003043,"March 28, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587389%5D.pdf,"Approved for Release: 2019/03/14 002003043

TOP SEGRET

28 March 1951

 

3.5(c)

 

 

 

Copy No. ",3/28/51,CIA-RDP79T00975A000100420001-3,"Approved FogBelease 2003/09/26 : CIA-RDP79T0097§4000100420001-3

TOP SEGRET

28 March 1951

25X1
Copy No. -

#1

-~ 5 f",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100420001-3,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,3176554,"March 29, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587430%5D.pdf,"Approved for Release: 2019/03/14 C03176554

e \ 4

",3/29/51,,,,,,master only (1),1951
Current/Central Intelligence Bulletin Collection,2733109,"March 30, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587419%5D.pdf,"L W

Appro_véd for Release: 2019/03/14 C02733109
-",3/30/51,CIA-RDP79T00975A000100440001-1,"| W

» Approved For Relggée 2004/01/16 : CIA-RDP79T00975A08g#00440001-1 .

P SECRET

30 March 1951

 

 

 

 

 

 

 

 

 

 

 

 

 

 

25X1
Copy No. £1 -9
CURRENT INTELLIGENCE BULLETIN 4 7
o. e
| R?fé",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100440001-1,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733110,"March 31, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587399%5D.pdf,"Approved for Release: 2019/03/14 C02733110 .. . f?
- v/
{

TOP_SEGRET

31 March 1951

] 3.5(c)..~
Copy No. L -9 -

CURRENT INTELLIGENCE BULLETIN

U§ o
DOCUMENT NO.

NO CHANGE IN CLASS. ",3/31/51,CIA-RDP79T00975A000100450001-0," 

 

i ILLEGIB a8
S Approved For Rglease 2004/03/11 : CIA-RDP79T00975A000100450001-0

TOP SECRET | -

31 March 1951

 

 

 

 

 

 

 

Copy NO- T -9

CURRENT INTELLIGENCE BULLETIN

Y .
DOCUMENT NO.

NO CHANGE IN CLASS. i

[+ DECLASTIFIED »

CLASS. CHANGED TO: T8

NEXT REVIZW DATE: ____

AUTH: _HR 793

QA",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100450001-0,/meta-52800,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733111,"April 1, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587424%5D.pdf,__,4/1/51,CIA-RDP79T00975A000100460001-9,,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100460001-9,/meta-55200,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2003044,"April 3, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587335%5D.pdf,"Sy Approved for Release: 2019/03/14 C02003044

- 3 April 1951

L ar s

Copy No. (T -9

CURRENT INTELLIGENCE BULLETIN

DOCUMENT NO. g
NG CHANGE IN CLASS.X

V| DECLASSIFIED
CLASS. CHANGEDTO: TS S C© 2& a
NEXT AEVIEW DATE: i
AUTH; _ HR 70-
DATE,IM REVIEWER:

 

 

 

 

 

 

 

 

 

3.5(c)
3.5(c)
Office of Current Intelligence
CENTRAL INTELLIGENCE AGENCY
3.5(c)

 

 

 

TOP SEGRET

Approved for Release: 2019/03/14 C02003044
",4/3/51,CIA-RDP79T00975A000100470001-8,5;,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100470001-8,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2014428,"April 4, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587397%5D.pdf,". ¥

",4/4/51,CIA-RDP79T00975A000100480001-7,"_ ; /.
Approved FoniRelease 2003/11/04 : CIA-RDP79T0097a#000100480001-7 ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100480001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2733112,"April 5, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587358%5D.pdf,"cvme W , Approved for Release: 2019/03/14 C02733112

o S ",4/5/51,CIA-RDP79T00975A000100490001-6,"e N

~ Approved Folgélease 2004/01/16 : CIA-RDP79T00978gH00100490001-6 e

TOP SEGRET 5 April 1951

 

25X1

 

 

 

Copy No. ¢Z -9

.",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100490001-6,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2014429,"April 6, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587373%5D.pdf,Approved for Release: 2019/03/14 0020143,4/6/51,CIA-RDP79T00975A000100500001-4," 

|LLE

L
Approved For¥&lease 2003/11/04 : CIA-RDP79T 09.7%0)0100500001-4

R , TOP SECRET

 

 

 

 

 

 

 

/
- 6 April 1951
| | . 25X1
- ",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100500001-4,/meta-53800,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
Current/Central Intelligence Bulletin Collection,2003045,"April 7, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587377%5D.pdf," 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

T ,/,'.g./ ~
pproved for Release: 2019/03/14 C02003045 & 3.5(c)
TS CHEL e
pr 1
3.5(c)
Copy No. ¢~ 9
CURRENT INTELIJGENCE BULLETIN
| m~~UMENT NO. é;
P IRANGE IN CLASS. -
i ILLASBIFIED
e NGED TO:
GREVIEW DATE: 204'7
STH. _HR 70
oare 24 reviewea, 3.5(c)
3.5(c)
Office of Current Intelligence
CENTRAL INTELLIGENCE AGENCY
3.5(c)
3.5(c)

",4/7/51,CIA-RDP79T00975A000100510001-3," 

 

~
o 25X1

 

Approved For Release 2003/09/26 : CIA-RDP79T00975A0001 )g?10001-3",https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100510001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,matched (3),1951
